source,to,score
resp249,resp3448,5.0
resp251,resp930,2.0
resp251,resp5221,2.0
resp253,resp2837,3.0
resp254,resp4230,4.0
resp254,resp5714,4.0
resp255,resp2983,5.0
resp255,resp608,5.0
resp255,resp3989,5.0
resp255,resp3301,4.0
resp256,resp6061,5.0
resp257,resp1472,3.0
resp257,resp4374,3.0
resp260,resp2545,5.0
resp260,resp3505,5.0
resp265,resp3921,5.0
resp265,resp2116,5.0
resp265,resp4001,5.0
resp265,resp595,5.0
resp268,resp3620,5.0
resp272,resp2322,4.0
resp272,resp3006,4.0
resp272,resp5153,4.0
resp273,resp5464,5.0
resp273,resp4208,4.0
resp273,resp132,3.0
resp275,resp5965,5.0
resp275,resp399,5.0
resp279,resp4340,5.0
resp279,resp1663,5.0
resp279,resp4049,5.0
resp279,resp4765,5.0
resp281,resp410,5.0
resp283,resp4571,5.0
resp283,resp5617,5.0
resp283,resp4169,5.0
resp283,resp5429,5.0
resp288,resp4935,5.0
resp289,resp1358,5.0
resp290,resp4592,5.0
resp292,resp1316,5.0
resp292,resp4169,4.0
resp292,resp611,4.0
resp292,resp2152,4.0
resp293,resp4230,5.0
resp293,resp5714,5.0
resp293,resp254,5.0
resp293,resp5847,5.0
resp300,resp553,3.0
resp302,resp2681,5.0
resp302,resp4801,5.0
resp302,resp1043,5.0
resp302,resp5816,5.0
resp303,resp4169,4.0
resp303,resp1316,4.0
resp304,resp3921,5.0
resp307,resp4098,4.0
resp307,resp2380,3.0
resp308,resp5787,5.0
resp308,resp2295,5.0
resp312,resp2950,5.0
resp312,resp4574,5.0
resp312,resp1785,5.0
resp312,resp4369,5.0
resp314,resp1307,5.0
resp314,resp3311,5.0
resp314,resp3487,4.0
resp321,resp490,4.0
resp321,resp2300,3.0
resp321,resp4935,4.0
resp328,resp2918,5.0
resp328,resp1723,5.0
resp328,resp2890,4.0
resp328,resp3808,4.0
resp330,resp4799,5.0
resp330,resp6089,4.0
resp333,resp1559,5.0
resp333,resp1736,5.0
resp334,resp5349,5.0
resp334,resp4476,3.0
resp334,resp982,4.0
resp338,resp4935,5.0
resp338,resp4616,5.0
resp340,resp5285,4.0
resp340,resp5500,5.0
resp340,resp6242,4.0
resp342,resp4347,5.0
resp342,resp965,5.0
resp342,resp5838,5.0
resp343,resp2816,5.0
resp343,resp5298,5.0
resp346,resp5965,5.0
resp346,resp1613,5.0
resp349,resp2180,5.0
resp349,resp5871,5.0
resp350,resp4789,3.0
resp350,resp2831,5.0
resp350,resp2176,5.0
resp350,resp4444,5.0
resp351,resp2562,5.0
resp351,resp4086,5.0
resp353,resp6061,5.0
resp356,resp346,
resp360,resp4266,4.0
resp360,resp5837,4.0
resp362,resp4901,5.0
resp362,resp354,5.0
resp362,resp5618,5.0
resp362,resp4799,5.0
resp363,resp2475,5.0
resp364,resp3280,5.0
resp364,resp4374,5.0
resp364,resp1472,5.0
resp366,resp1739,
resp366,resp5913,
resp366,resp3505,
resp366,resp4138,
resp367,resp2950,5.0
resp367,resp1785,5.0
resp367,resp1717,5.0
resp368,resp2865,
resp370,resp2461,4.0
resp370,resp817,4.0
resp371,resp2681,5.0
resp373,resp5955,5.0
resp373,resp3989,5.0
resp373,resp4774,5.0
resp373,resp608,5.0
resp375,resp5022,5.0
resp378,resp5788,4.0
resp379,resp3238,2.0
resp380,resp1306,4.0
resp380,resp4789,4.0
resp380,resp5575,3.0
resp380,resp4444,3.0
resp382,resp926,5.0
resp382,resp4338,5.0
resp382,resp3781,5.0
resp382,resp3008,5.0
resp384,resp96,5.0
resp389,resp3849,2.0
resp389,resp2787,4.0
resp389,resp4101,4.0
resp390,resp1043,4.0
resp391,resp1772,5.0
resp391,resp4426,5.0
resp392,resp5427,5.0
resp395,resp5398,1.0
resp396,resp514,4.0
resp398,resp4374,4.0
resp398,resp3280,5.0
resp398,resp2720,5.0
resp399,resp5965,5.0
resp399,resp1701,5.0
resp399,resp5977,5.0
resp399,resp698,5.0
resp400,resp2564,
resp401,resp4466,5.0
resp401,resp5731,5.0
resp401,resp4447,5.0
resp401,resp2492,5.0
resp407,resp514,3.0
resp409,resp4390,5.0
resp409,resp608,5.0
resp409,resp2983,5.0
resp410,resp5586,5.0
resp410,resp2055,5.0
resp411,resp11,5.0
resp411,resp3823,5.0
resp413,resp96,5.0
resp413,resp1376,4.0
resp418,resp3613,5.0
resp418,resp589,4.0
resp418,resp4748,4.0
resp420,resp3567,3.0
resp420,resp4326,4.0
resp420,resp3365,4.0
resp420,resp2856,5.0
resp426,resp5200,5.0
resp426,resp1598,5.0
resp426,resp2163,5.0
resp426,resp4038,5.0
resp428,resp5047,4.0
resp429,resp3322,2.0
resp434,resp1029,5.0
resp434,resp5771,5.0
resp434,resp4774,5.0
resp434,resp7,5.0
resp435,resp3602,5.0
resp435,resp5783,5.0
resp435,resp4857,4.0
resp435,resp4698,4.0
resp436,resp1316,5.0
resp436,resp6055,5.0
resp443,resp5427,4.0
resp443,resp3356,3.0
resp444,resp4901,1.0
resp445,resp346,5.0
resp445,resp5965,5.0
resp448,resp2947,5.0
resp448,resp2983,5.0
resp449,resp2872,5.0
resp449,resp5970,5.0
resp449,resp2339,5.0
resp456,resp4740,5.0
resp456,resp3673,5.0
resp456,resp4061,5.0
resp456,resp4623,5.0
resp458,resp5705,5.0
resp458,resp989,5.0
resp458,resp1334,2.0
resp458,resp5181,5.0
resp460,resp2283,5.0
resp460,resp1210,5.0
resp460,resp2696,2.0
resp460,resp494,2.0
resp461,resp4169,5.0
resp461,resp5465,5.0
resp465,resp5657,5.0
resp465,resp634,5.0
resp465,resp5789,5.0
resp465,resp1904,5.0
resp466,resp1376,
resp466,resp1071,
resp468,resp4914,4.0
resp468,resp2144,4.0
resp468,resp795,5.0
resp469,resp4574,5.0
resp471,resp2339,4.0
resp471,resp5970,5.0
resp472,resp206,2.0
resp472,resp3281,3.0
resp472,resp2509,1.0
resp472,resp1380,4.0
resp473,resp4571,5.0
resp473,resp4169,5.0
resp473,resp5617,5.0
resp473,resp5884,5.0
resp474,resp2163,4.0
resp475,resp2017,4.0
resp475,resp51,4.0
resp475,resp527,5.0
resp478,resp1147,3.0
resp478,resp1210,3.0
resp478,resp1164,3.0
resp478,resp2249,5.0
resp482,resp1447,5.0
resp482,resp4619,5.0
resp482,resp2903,5.0
resp482,resp3221,5.0
resp484,resp5539,5.0
resp484,resp3804,1.0
resp485,resp553,5.0
resp485,resp878,5.0
resp486,resp5850,2.0
resp487,resp2178,4.0
resp487,resp1429,3.0
resp488,resp2461,5.0
resp488,resp2300,5.0
resp488,resp6009,5.0
resp488,resp6113,5.0
resp490,resp2461,2.0
resp490,resp6009,2.0
resp490,resp2300,2.0
resp490,resp4935,2.0
resp493,resp2302,4.0
resp494,resp2696,5.0
resp494,resp460,5.0
resp495,resp2343,
resp499,resp3280,5.0
resp499,resp4374,5.0
resp499,resp2720,5.0
resp500,resp6196,4.0
resp501,resp558,5.0
resp501,resp5083,5.0
resp501,resp881,5.0
resp501,resp4571,5.0
resp502,resp2475,5.0
resp502,resp1060,4.0
resp505,resp3356,4.0
resp507,resp3,5.0
resp507,resp573,5.0
resp507,resp1210,5.0
resp507,resp4148,5.0
resp509,resp608,4.0
resp509,resp3365,5.0
resp509,resp2983,5.0
resp509,resp5200,3.0
resp510,resp4574,5.0
resp510,resp2950,5.0
resp510,resp1449,5.0
resp510,resp2328,4.0
resp514,resp4418,4.0
resp514,resp3356,3.0
resp514,resp6028,4.0
resp514,resp4272,3.0
resp515,resp558,5.0
resp515,resp4571,5.0
resp515,resp2250,2.0
resp521,resp2373,5.0
resp521,resp2461,5.0
resp521,resp3283,5.0
resp521,resp4790,5.0
resp523,resp4799,5.0
resp526,resp1334,5.0
resp527,resp2017,5.0
resp533,resp3608,
resp533,resp534,
resp534,resp1121,5.0
resp534,resp2072,4.0
resp534,resp5349,4.0
resp534,resp4476,4.0
resp536,resp597,5.0
resp538,resp4812,5.0
resp538,resp2072,5.0
resp538,resp549,5.0
resp541,resp595,2.0
resp541,resp4326,2.0
resp541,resp3851,2.0
resp541,resp4774,2.0
resp543,resp1349,5.0
resp543,resp3365,5.0
resp543,resp2824,5.0
resp545,resp1164,5.0
resp545,resp51,5.0
resp545,resp1163,5.0
resp545,resp5810,5.0
resp547,resp1908,4.0
resp547,resp1121,5.0
resp547,resp4377,5.0
resp549,resp534,4.0
resp549,resp1121,3.0
resp549,resp3608,5.0
resp551,resp3775,5.0
resp558,resp4571,5.0
resp559,resp5526,
resp560,resp2491,5.0
resp561,resp3159,5.0
resp561,resp354,5.0
resp561,resp1188,5.0
resp561,resp1701,5.0
resp562,resp4774,5.0
resp563,resp3365,5.0
resp563,resp1349,5.0
resp565,resp4442,5.0
resp565,resp1736,5.0
resp565,resp1559,5.0
resp566,resp213,4.0
resp568,resp5484,5.0
resp568,resp1534,5.0
resp571,resp2816,5.0
resp571,resp2885,5.0
resp572,resp6038,3.0
resp572,resp494,3.0
resp573,resp1210,5.0
resp573,resp3,5.0
resp573,resp1060,4.0
resp573,resp2249,4.0
resp574,resp5787,5.0
resp575,resp4444,4.0
resp578,resp4774,3.0
resp578,resp541,4.0
resp578,resp4373,2.0
resp578,resp4326,4.0
resp586,resp402,5.0
resp586,resp4338,5.0
resp586,resp3008,5.0
resp586,resp4540,5.0
resp587,resp494,5.0
resp587,resp2339,5.0
resp587,resp5970,4.0
resp589,resp3194,5.0
resp590,resp1043,3.0
resp594,resp6078,5.0
resp594,resp4194,5.0
resp594,resp361,5.0
resp595,resp2824,5.0
resp595,resp3365,5.0
resp595,resp2834,5.0
resp595,resp5788,5.0
resp597,resp1376,4.0
resp601,resp3673,5.0
resp601,resp4332,5.0
resp606,resp903,
resp607,resp5488,5.0
resp608,resp3989,4.0
resp609,resp473,
resp611,resp4169,2.0
resp611,resp2983,4.0
resp611,resp4571,5.0
resp611,resp1316,2.0
resp612,resp346,5.0
resp612,resp5965,5.0
resp613,resp5846,5.0
resp617,resp1224,3.0
resp618,resp6032,5.0
resp618,resp5588,5.0
resp618,resp870,5.0
resp618,resp5847,4.0
resp620,resp2746,5.0
resp620,resp2461,5.0
resp621,resp1379,1.0
resp625,resp742,5.0
resp631,resp2039,5.0
resp633,resp3705,4.0
resp634,resp413,5.0
resp634,resp96,5.0
resp634,resp1376,5.0
resp634,resp2856,5.0
resp636,resp4812,5.0
resp636,resp2964,4.0
resp636,resp5339,4.0
resp636,resp4089,3.0
resp638,resp2792,5.0
resp638,resp232,5.0
resp638,resp1472,5.0
resp638,resp4823,5.0
resp640,resp1376,4.0
resp640,resp5488,4.0
resp640,resp903,5.0
resp640,resp1071,4.0
resp642,resp1269,4.0
resp643,resp912,3.0
resp643,resp5514,3.0
resp643,resp4774,3.0
resp644,resp664,5.0
resp644,resp2158,5.0
resp644,resp3774,4.0
resp644,resp5541,4.0
resp645,resp1183,
resp645,resp5965,
resp645,resp1188,
resp645,resp5214,
resp647,resp4799,4.0
resp652,resp2792,5.0
resp652,resp232,5.0
resp652,resp4374,4.0
resp652,resp1282,5.0
resp653,resp514,5.0
resp653,resp2121,5.0
resp653,resp443,5.0
resp653,resp4759,5.0
resp655,resp2838,5.0
resp655,resp6174,5.0
resp655,resp91,5.0
resp658,resp825,4.0
resp658,resp132,4.0
resp658,resp4988,4.0
resp659,resp2950,5.0
resp659,resp4574,5.0
resp659,resp2328,5.0
resp659,resp2991,5.0
resp660,resp6123,5.0
resp660,resp870,5.0
resp660,resp5588,5.0
resp660,resp3673,5.0
resp661,resp2562,4.0
resp664,resp4169,4.0
resp664,resp5617,4.0
resp664,resp2039,3.0
resp664,resp5267,2.0
resp667,resp5908,5.0
resp667,resp1587,5.0
resp667,resp817,5.0
resp670,resp2428,5.0
resp671,resp4759,4.0
resp671,resp3494,4.0
resp675,resp553,4.0
resp676,resp2128,3.0
resp676,resp29,4.0
resp676,resp5586,1.0
resp677,resp4372,4.0
resp677,resp1817,4.0
resp677,resp6233,4.0
resp677,resp1710,4.0
resp678,resp4882,5.0
resp678,resp5488,5.0
resp678,resp2143,5.0
resp678,resp1376,5.0
resp680,resp2486,5.0
resp680,resp4800,5.0
resp681,resp5977,5.0
resp682,resp2545,5.0
resp682,resp3456,5.0
resp688,resp460,5.0
resp688,resp2696,5.0
resp688,resp3,5.0
resp689,resp6009,5.0
resp689,resp2249,3.0
resp689,resp3447,4.0
resp689,resp2461,5.0
resp690,resp1306,3.0
resp690,resp4789,4.0
resp690,resp2831,4.0
resp690,resp1121,2.0
resp692,resp415,5.0
resp692,resp1379,5.0
resp692,resp1716,5.0
resp692,resp5726,5.0
resp695,resp2950,5.0
resp695,resp916,5.0
resp695,resp1449,5.0
resp695,resp4369,5.0
resp698,resp5965,5.0
resp698,resp2816,5.0
resp698,resp5977,5.0
resp698,resp1687,5.0
resp699,resp1376,
resp699,resp96,
resp699,resp2804,
resp699,resp597,
resp700,resp1385,4.0
resp700,resp3697,2.0
resp700,resp4426,3.0
resp700,resp3460,3.0
resp709,resp553,5.0
resp709,resp2006,5.0
resp709,resp1859,5.0
resp709,resp6220,5.0
resp715,resp4935,5.0
resp715,resp4001,5.0
resp716,resp4298,5.0
resp716,resp3221,5.0
resp717,resp1559,5.0
resp718,resp3458,5.0
resp718,resp2559,5.0
resp718,resp2746,5.0
resp719,resp5731,5.0
resp719,resp1210,5.0
resp720,resp2039,
resp721,resp4915,5.0
resp723,resp1694,5.0
resp723,resp1594,5.0
resp725,resp1376,5.0
resp725,resp96,5.0
resp725,resp413,5.0
resp730,resp2979,5.0
resp738,resp2843,
resp738,resp4778,
resp742,resp3752,5.0
resp742,resp2343,5.0
resp742,resp1038,5.0
resp742,resp2681,5.0
resp743,resp1379,5.0
resp743,resp867,5.0
resp743,resp5925,5.0
resp743,resp5018,5.0
resp745,resp4169,5.0
resp745,resp4571,5.0
resp747,resp5913,5.0
resp748,resp1124,5.0
resp748,resp2983,5.0
resp748,resp4169,5.0
resp749,resp2461,5.0
resp749,resp2373,5.0
resp749,resp817,5.0
resp750,resp3356,4.0
resp750,resp3494,4.0
resp750,resp4759,4.0
resp753,resp2562,5.0
resp754,resp2558,5.0
resp754,resp6212,5.0
resp754,resp4330,5.0
resp754,resp828,5.0
resp755,resp965,5.0
resp755,resp5838,4.0
resp756,resp5410,5.0
resp756,resp2983,5.0
resp759,resp1177,4.0
resp759,resp1176,4.0
resp759,resp4541,2.0
resp759,resp4936,4.0
resp761,resp2903,5.0
resp762,resp5787,
resp763,resp4590,4.0
resp764,resp1371,5.0
resp764,resp1661,5.0
resp764,resp1212,5.0
resp766,resp5523,3.0
resp766,resp3159,2.0
resp766,resp1701,1.0
resp767,resp4571,4.0
resp767,resp1882,5.0
resp767,resp947,5.0
resp767,resp4266,5.0
resp772,resp144,5.0
resp772,resp2056,5.0
resp772,resp222,5.0
resp772,resp2929,5.0
resp776,resp3955,5.0
resp776,resp4794,
resp784,resp4417,5.0
resp784,resp737,5.0
resp784,resp4915,5.0
resp786,resp2991,5.0
resp788,resp5484,3.0
resp789,resp3614,5.0
resp790,resp597,5.0
resp790,resp4245,5.0
resp795,resp2144,4.0
resp795,resp4914,4.0
resp796,resp1278,4.0
resp796,resp1382,5.0
resp796,resp3238,5.0
resp797,resp4169,4.0
resp797,resp947,5.0
resp797,resp4571,5.0
resp797,resp2983,4.0
resp800,resp213,3.0
resp800,resp1185,3.0
resp804,resp3892,3.0
resp805,resp3562,5.0
resp805,resp5311,5.0
resp805,resp6237,5.0
resp805,resp1222,5.0
resp808,resp2654,2.0
resp808,resp4923,1.0
resp808,resp1185,2.0
resp808,resp1864,3.0
resp811,resp4774,3.0
resp812,resp3259,5.0
resp812,resp1651,5.0
resp815,resp2748,5.0
resp815,resp2945,5.0
resp817,resp2461,3.0
resp817,resp3448,3.0
resp819,resp3989,5.0
resp819,resp595,5.0
resp819,resp4166,5.0
resp819,resp4774,5.0
resp822,resp2649,5.0
resp822,resp6083,5.0
resp824,resp2567,4.0
resp825,resp132,5.0
resp825,resp1318,3.0
resp825,resp4169,3.0
resp825,resp3040,5.0
resp826,resp370,5.0
resp826,resp2373,5.0
resp826,resp817,5.0
resp828,resp2558,4.0
resp828,resp1723,4.0
resp828,resp2890,4.0
resp828,resp3808,4.0
resp831,resp2373,5.0
resp831,resp3283,5.0
resp831,resp4581,5.0
resp831,resp2601,5.0
resp832,resp1204,4.0
resp834,resp5586,5.0
resp834,resp2128,5.0
resp834,resp4198,5.0
resp834,resp3934,5.0
resp837,resp3221,5.0
resp837,resp2659,5.0
resp843,resp5586,4.0
resp843,resp410,4.0
resp843,resp3447,4.0
resp843,resp2968,3.0
resp844,resp2049,5.0
resp844,resp4049,4.0
resp844,resp5180,4.0
resp844,resp1996,3.0
resp845,resp11,5.0
resp845,resp5748,5.0
resp845,resp3822,5.0
resp847,resp2480,3.0
resp851,resp2859,5.0
resp851,resp5388,5.0
resp851,resp3642,5.0
resp851,resp2650,5.0
resp852,resp1411,5.0
resp852,resp3182,5.0
resp852,resp3673,5.0
resp852,resp5629,5.0
resp854,resp1210,4.0
resp854,resp2824,4.0
resp854,resp2461,5.0
resp854,resp1376,5.0
resp855,resp2228,5.0
resp855,resp1396,5.0
resp855,resp294,5.0
resp856,resp19,5.0
resp856,resp1944,4.0
resp858,resp3512,4.0
resp858,resp3545,4.0
resp860,resp2903,4.0
resp860,resp1447,4.0
resp862,resp1606,
resp862,resp3620,
resp862,resp4216,
resp862,resp3749,
resp864,resp514,5.0
resp869,resp1185,5.0
resp869,resp1121,5.0
resp871,resp4166,5.0
resp872,resp64,5.0
resp872,resp4369,5.0
resp872,resp2950,5.0
resp872,resp6255,5.0
resp875,resp4643,4.0
resp875,resp4799,4.0
resp875,resp2832,4.0
resp875,resp4451,1.0
resp876,resp5047,5.0
resp876,resp4298,5.0
resp878,resp1060,2.0
resp879,resp4390,5.0
resp879,resp2983,3.0
resp879,resp608,3.0
resp879,resp2163,5.0
resp881,resp4169,2.0
resp884,resp5298,
resp884,resp2816,
resp884,resp343,
resp884,resp5515,
resp885,resp2759,5.0
resp885,resp3977,5.0
resp885,resp611,5.0
resp890,resp5731,5.0
resp901,resp1703,5.0
resp903,resp1376,5.0
resp905,resp5758,5.0
resp905,resp1295,5.0
resp905,resp2406,5.0
resp912,resp5955,5.0
resp913,resp2872,4.0
resp917,resp2180,5.0
resp917,resp1664,5.0
resp918,resp5221,4.0
resp920,resp4374,5.0
resp920,resp3280,5.0
resp925,resp1161,4.0
resp925,resp4643,4.0
resp925,resp620,5.0
resp925,resp2146,4.0
resp926,resp3008,5.0
resp926,resp4338,5.0
resp926,resp4432,5.0
resp926,resp3781,5.0
resp929,resp611,
resp930,resp4915,5.0
resp930,resp4809,5.0
resp930,resp2333,5.0
resp930,resp1772,5.0
resp933,resp143,4.0
resp933,resp2918,4.0
resp934,resp1477,5.0
resp938,resp2824,5.0
resp938,resp2983,5.0
resp938,resp4169,5.0
resp938,resp1542,5.0
resp941,resp111,5.0
resp941,resp3699,5.0
resp944,resp494,5.0
resp948,resp5936,5.0
resp948,resp3280,5.0
resp948,resp4374,5.0
resp948,resp1472,5.0
resp954,resp3520,5.0
resp954,resp4614,4.0
resp954,resp5032,4.0
resp959,resp4214,5.0
resp959,resp5539,5.0
resp959,resp3804,4.0
resp959,resp484,4.0
resp962,resp4049,3.0
resp964,resp2250,
resp964,resp3399,
resp965,resp4571,5.0
resp965,resp4169,5.0
resp965,resp2824,4.0
resp965,resp2983,4.0
resp968,resp3365,4.0
resp971,resp4230,4.0
resp973,resp3221,5.0
resp973,resp2903,5.0
resp973,resp1447,5.0
resp976,resp1158,5.0
resp976,resp2049,5.0
resp976,resp5067,5.0
resp976,resp5776,4.0
resp979,resp3414,5.0
resp979,resp3229,3.0
resp980,resp3562,5.0
resp981,resp1346,5.0
resp981,resp750,5.0
resp982,resp6098,3.0
resp987,resp4266,5.0
resp989,resp5705,5.0
resp989,resp5181,5.0
resp989,resp1334,5.0
resp989,resp3099,5.0
resp993,resp2831,4.0
resp993,resp3545,4.0
resp997,resp1210,
resp998,resp91,
resp999,resp1376,5.0
resp999,resp96,5.0
resp999,resp2804,5.0
resp999,resp1071,5.0
resp1002,resp466,4.0
resp1004,resp4195,5.0
resp1004,resp2926,5.0
resp1004,resp1416,5.0
resp1004,resp946,5.0
resp1005,resp11,5.0
resp1005,resp3823,5.0
resp1005,resp3860,5.0
resp1005,resp3916,5.0
resp1006,resp3488,5.0
resp1008,resp3210,4.0
resp1012,resp4915,5.0
resp1012,resp737,5.0
resp1012,resp784,5.0
resp1013,resp553,5.0
resp1016,resp5731,5.0
resp1018,resp2558,4.0
resp1018,resp828,5.0
resp1018,resp3606,5.0
resp1018,resp3322,4.0
resp1019,resp5539,5.0
resp1019,resp4654,5.0
resp1019,resp3804,3.0
resp1019,resp484,3.0
resp1020,resp1007,5.0
resp1020,resp2159,5.0
resp1022,resp1376,5.0
resp1022,resp96,5.0
resp1022,resp5488,5.0
resp1023,resp5924,
resp1028,resp420,5.0
