uid,function,hierarchy,region,operation,clocent
resp99,business,E,country-wide,business_mng,0.697180666
resp101,network,MM,east,implementation,0
resp102,mng,E,country-wide,service,0
resp103,network,TL,central,implementation,0
resp104,logistics,E,country-wide,implementation,0
resp105,logistics,TL,east,implementation,0.723299767
resp109,it,E,country-wide,service,0
resp110,logistics,E,country-wide,implementation,0.720158349
resp111,logistics,E,central,implementation,0
resp112,logistics,E,east,implementation,0.002614365
resp114,network,TL,west,implementation,0.860523483
resp115,mng,E,country-wide,service,0.761121239
resp117,network,TL,east,implementation,0.00522873
resp118,logistics,E,country-wide,implementation,0.799008557
resp120,hr,E,central,service,0
resp122,security,E,west,service,0.007843096
resp123,network,TL,west,implementation,0
resp124,hr,E,central,implementation,0.802282072
resp125,network,TL,west,implementation,0.762571802
resp126,mng,E,country-wide,corp_gov,0.807891169
resp129,network,MM,central,implementation,0.663660931
resp130,mng,E,country-wide,service,0
resp132,network,MM,east,implementation,0
resp133,it,E,country-wide,service,0.769149391
resp134,network,TL,central,implementation,0
resp135,network,TL,west,implementation,0.734539589
resp137,logistics,TL,west,implementation,0.72902432
resp138,hr,E,central,implementation,0
resp139,network,TL,central,implementation,0
resp140,network,TL,central,implementation,0.707031565
resp142,mng,TL,country-wide,corp_gov,0
resp143,logistics,TL,east,implementation,0
resp144,network,MM,east,implementation,0.923310526
resp145,logistics,E,country-wide,business_mng,0
resp147,business,E,country-wide,business_mng,0.695701207
resp148,network,TL,central,implementation,0
resp149,business,E,country-wide,business_mng,0
resp150,logistics,E,east,business_mng,0.833447036
resp151,network,TL,east,implementation,0
resp153,network,MM,west,implementation,0.002614365
resp154,business,E,country-wide,service,0
resp156,network,TL,east,implementation,0
resp158,control,E,central,business_mng,0.723934254
resp159,business,E,country-wide,service,0.709953304
resp162,network,TL,east,implementation,0.800322127
resp163,business,E,country-wide,business_mng,0.705522589
resp165,leadership,E,country-wide,corp_gov,0.844780036
resp167,mng,E,country-wide,service,0.722469559
resp168,mng,E,country-wide,service,0.695460053
resp169,it,TL,country-wide,service,0.83065328
resp170,mng,E,country-wide,service,0.821001294
resp171,logistics,E,central,implementation,0.811651408
resp172,logistics,E,country-wide,implementation,0.786682912
resp173,network,TL,east,implementation,0.778278978
resp174,logistics,E,central,implementation,0
resp175,mng,E,country-wide,service,0
resp176,mng,E,country-wide,service,0
resp177,logistics,E,country-wide,implementation,0
resp178,it,E,country-wide,service,0
resp179,business,TL,country-wide,implementation,0.742673433
resp181,logistics,E,central,implementation,0.811049024
resp184,business,E,country-wide,business_mng,0.858135893
resp185,it,E,country-wide,service,0
resp188,business,E,country-wide,business_mng,0.700517599
resp190,logistics,E,country-wide,implementation,0
resp192,network,TL,east,implementation,0
resp193,logistics,E,east,business_mng,0
resp194,hr,E,country-wide,service,0.780279504
resp195,hr,TL,country-wide,corp_gov,0.809247227
resp196,security,E,country-wide,corp_gov,0
resp197,network,TL,central,implementation,0.015686191
resp199,hr,E,east,service,0.735831208
resp203,business,E,country-wide,business_mng,0.858563393
resp204,network,E,central,business_mng,0.766559663
resp205,hr,E,central,service,0.758964341
resp206,network,MM,east,implementation,0.905841723
resp207,network,TL,central,implementation,0.725428161
resp208,network,E,east,business_mng,0
resp211,business,E,country-wide,business_mng,0.762033928
resp213,it,TL,country-wide,service,0
resp214,mng,E,country-wide,service,0.927995461
resp215,business,E,country-wide,implementation,0
resp216,network,TL,central,implementation,0.733193617
resp218,network,TL,east,implementation,0
resp220,mng,E,country-wide,service,0
resp222,network,TL,east,implementation,0.785551916
resp224,business,E,country-wide,business_mng,0.718927525
resp225,security,E,country-wide,corp_gov,0.835564881
resp226,business,E,country-wide,business_mng,0
resp227,network,E,central,business_mng,0
resp228,business,E,country-wide,business_mng,0
resp229,hr,E,central,service,0
resp230,hr,E,central,implementation,0.733509705
resp231,business,E,country-wide,business_mng,0.838771521
resp232,business,TL,country-wide,business_mng,0.793653134
resp233,hr,E,central,service,0
resp235,logistics,TL,country-wide,implementation,0.836317658
resp238,network,TL,west,implementation,0.792320685
resp240,logistics,E,country-wide,implementation,0.780695965
resp241,mng,E,east,service,0.770740635
resp242,network,TL,central,implementation,0.007843096
resp244,business,E,country-wide,business_mng,0.847926331
resp245,network,E,east,business_mng,0.784799724
resp246,it,E,country-wide,service,0.75921914
resp247,leadership,E,country-wide,corp_gov,0
resp249,hr,E,central,service,0.697500305
resp251,logistics,E,central,implementation,0.713829316
resp253,it,E,west,service,0.864315687
resp254,logistics,E,country-wide,service,0.783786546
resp255,network,TL,west,implementation,0.762104785
resp256,logistics,E,east,implementation,0.002614365
resp257,business,E,country-wide,business_mng,0.746895331
resp258,network,TL,central,implementation,0.693317761
resp260,hr,E,east,implementation,0.836887314
resp261,it,E,country-wide,service,0
resp262,it,E,country-wide,service,0
resp263,network,TL,east,implementation,0
resp265,control,E,west,business_mng,0.687819395
resp268,business,E,country-wide,business_mng,0.72034808
resp269,business,E,country-wide,business_mng,0
resp272,mng,E,country-wide,service,0.872384876
resp273,network,E,east,business_mng,0.784987637
resp274,it,E,country-wide,service,0
resp275,mng,E,west,service,0.746827274
resp279,network,TL,east,implementation,0.747594203
resp280,network,E,west,business_mng,0
resp281,mng,E,country-wide,corp_gov,0.734150476
resp283,network,MM,east,implementation,0.812294937
resp286,leadership,E,country-wide,service,0
resp287,hr,E,east,implementation,0
resp288,hr,E,west,service,0.799732245
resp289,network,TL,east,implementation,0.801570261
resp290,business,E,country-wide,business_mng,0.658344184
resp291,logistics,E,country-wide,implementation,0
resp292,network,E,east,business_mng,0.893205745
resp293,logistics,E,east,implementation,0.933385254
resp294,network,TL,west,implementation,0
resp296,business,E,country-wide,implementation,0
resp297,network,TL,central,implementation,0.764201018
resp299,mng,E,central,implementation,0
resp301,business,E,country-wide,business_mng,0
resp302,business,E,country-wide,implementation,0.736393317
resp303,network,E,east,business_mng,0.8333136
resp304,control,E,west,business_mng,0.789638799
resp306,it,E,country-wide,service,0
resp307,network,TL,east,implementation,0.811817458
resp308,mng,E,country-wide,service,0.667784732
resp309,business,TL,country-wide,implementation,0
resp311,control,E,east,business_mng,0
resp312,business,E,country-wide,business_mng,0.695199619
resp313,logistics,E,west,implementation,0
resp314,network,TL,west,implementation,0.803850129
resp315,mng,E,country-wide,service,0
resp318,business,E,country-wide,business_mng,0
resp319,hr,E,central,implementation,0
resp321,hr,E,west,implementation,0.890536852
resp322,business,E,country-wide,business_mng,0
resp323,network,TL,east,implementation,0
resp326,network,TL,central,implementation,0
resp328,logistics,TL,east,implementation,0.821948144
resp330,mng,E,country-wide,corp_gov,0.824833347
resp331,business,E,country-wide,business_mng,0
resp333,mng,E,country-wide,service,0.670099385
resp334,it,E,country-wide,service,0.841040773
resp335,it,E,country-wide,service,0
resp336,hr,E,central,service,0
resp337,logistics,E,country-wide,implementation,0
resp338,hr,E,west,implementation,0.829211184
resp340,business,E,country-wide,implementation,0.591074624
resp341,hr,E,central,service,0
resp342,hr,E,east,implementation,0.870764712
resp343,mng,E,country-wide,service,0.659961021
resp344,mng,E,country-wide,corp_gov,0
resp345,leadership,E,country-wide,corp_gov,0
resp346,mng,TL,east,service,0.75038278
resp347,network,E,central,business_mng,0
resp349,business,E,country-wide,implementation,0.016289506
resp350,it,E,country-wide,service,0.892865179
resp351,logistics,E,country-wide,implementation,0.760584253
resp353,logistics,E,east,implementation,0.781954483
resp354,mng,E,central,service,0
resp356,mng,E,east,service,0.751134951
resp357,mng,E,country-wide,corp_gov,0
resp358,network,TL,central,implementation,0
resp360,network,TL,east,implementation,0.72496386
resp362,mng,E,east,service,0.716650119
resp363,hr,E,country-wide,corp_gov,0.806341277
resp364,business,E,country-wide,business_mng,0.713699731
resp366,hr,E,east,service,0
resp367,business,E,country-wide,business_mng,0.629183274
resp368,network,TL,central,implementation,0.722954988
resp369,network,MM,east,implementation,0.798991608
resp370,hr,E,country-wide,service,0.796584305
resp371,business,E,country-wide,implementation,0.672398968
resp372,network,TL,east,implementation,0
resp373,network,MM,west,implementation,0.759914321
resp374,it,E,country-wide,service,0
resp375,business,E,country-wide,corp_gov,0.861609032
resp376,business,E,country-wide,business_mng,0
resp378,network,E,country-wide,business_mng,0.80133515
resp379,logistics,E,central,implementation,0.690801286
resp380,it,E,country-wide,service,0.721325053
resp382,logistics,E,country-wide,implementation,0.77882774
resp384,network,E,central,business_mng,0.672221112
resp387,control,E,east,business_mng,0
resp388,business,E,country-wide,business_mng,0
resp389,hr,E,east,implementation,0.831465114
resp390,business,E,country-wide,implementation,0.005882322
resp391,logistics,E,country-wide,business_mng,0.828177226
resp392,logistics,E,country-wide,implementation,0.785363733
resp393,mng,E,east,implementation,0
resp395,logistics,E,country-wide,implementation,0.74519761
resp396,logistics,E,country-wide,implementation,0.698251565
resp397,business,E,country-wide,business_mng,0
resp398,business,E,country-wide,business_mng,0.746487173
resp399,mng,TL,west,service,0.752691332
resp400,logistics,E,country-wide,implementation,0.631340003
resp401,leadership,E,country-wide,corp_gov,0.776178409
resp402,logistics,E,country-wide,implementation,0
resp406,logistics,E,country-wide,implementation,0
resp407,logistics,E,country-wide,implementation,0.776541095
resp409,network,E,west,business_mng,0.655343234
resp410,mng,TL,country-wide,corp_gov,0.777393144
resp411,mng,E,central,implementation,0
resp413,network,TL,central,business_mng,0.671697747
resp415,logistics,MM,country-wide,implementation,0
resp416,logistics,E,country-wide,implementation,0
resp417,network,TL,central,implementation,0
resp418,business,E,country-wide,implementation,0.6858744
resp419,it,E,central,service,0
resp420,network,TL,west,implementation,0.683602812
resp421,network,MM,central,implementation,0
resp422,business,E,country-wide,business_mng,0
resp426,network,MM,west,implementation,0.840405631
resp427,business,E,country-wide,implementation,0
resp428,business,E,country-wide,implementation,0.61644135
resp429,logistics,E,east,implementation,0.767751312
resp430,logistics,E,country-wide,implementation,0
resp434,network,TL,central,implementation,0.740919898
resp435,logistics,E,country-wide,implementation,0.838765369
resp436,network,E,east,business_mng,0.820713555
resp437,it,E,country-wide,service,0
resp439,logistics,E,east,business_mng,0
resp442,network,TL,east,implementation,0
resp443,logistics,E,country-wide,implementation,0.815081887
resp444,mng,E,east,service,0.646443545
resp445,mng,E,east,service,0.746827274
resp447,logistics,E,west,implementation,0
resp448,business,TL,country-wide,business_mng,0.738350157
resp449,control,E,east,business_mng,0.733591937
resp452,logistics,E,country-wide,implementation,0
resp453,logistics,E,country-wide,implementation,0
resp456,network,TL,west,implementation,0.731062711
resp457,network,TL,west,implementation,0
resp458,it,E,country-wide,service,0.748088346
resp459,security,E,country-wide,corp_gov,0
resp460,control,TL,country-wide,corp_gov,0.798058025
resp461,network,E,east,business_mng,0.819155056
resp465,network,TL,central,implementation,0.722338496
resp466,network,MM,central,implementation,0.689410431
resp468,logistics,E,country-wide,implementation,0.663678446
resp469,business,MM,country-wide,business_mng,0.738150665
resp471,control,E,east,business_mng,0.734079434
resp472,network,TL,east,implementation,0.824884854
resp473,network,MM,east,implementation,0.859530797
resp474,network,MM,west,implementation,0.760196254
resp475,security,E,country-wide,corp_gov,0.728994687
resp476,logistics,E,east,implementation,0
resp477,mng,E,country-wide,service,0
resp478,leadership,E,country-wide,corp_gov,0.839974985
resp482,business,E,country-wide,business_mng,0.565524517
resp483,business,E,country-wide,business_mng,0
resp484,business,E,country-wide,business_mng,0.757701388
resp485,leadership,E,country-wide,service,0.687098622
resp486,hr,E,country-wide,corp_gov,0.825591127
resp487,logistics,E,country-wide,implementation,0.768349885
resp488,hr,TL,west,service,0.806896964
resp489,business,E,country-wide,business_mng,0
resp490,hr,E,west,service,0.774454872
resp493,business,E,country-wide,business_mng,0.775664214
resp494,control,MM,country-wide,corp_gov,0.863424379
resp495,business,E,country-wide,implementation,0.678706187
resp498,logistics,E,country-wide,implementation,0.731431521
resp499,business,E,country-wide,business_mng,0.692973838
resp500,network,TL,central,implementation,0.790404657
resp501,network,MM,east,implementation,0.855609092
resp502,hr,E,country-wide,corp_gov,0.841916375
resp504,logistics,E,country-wide,business_mng,0
resp505,logistics,E,country-wide,implementation,0.807214844
resp507,leadership,E,country-wide,corp_gov,0.799030555
resp508,logistics,E,east,implementation,0
resp509,network,MM,west,implementation,0.891868037
resp510,business,E,country-wide,business_mng,0.87443251
resp512,network,TL,west,implementation,0
resp514,logistics,TL,country-wide,implementation,0.880207906
resp515,network,MM,east,implementation,0.83475642
resp516,business,E,country-wide,implementation,0
resp518,control,E,central,business_mng,0
resp521,hr,E,central,service,0.788181377
resp523,business,E,country-wide,corp_gov,0.742922162
resp526,it,E,country-wide,service,0.804994933
resp527,security,E,country-wide,corp_gov,0.656392791
resp528,business,E,country-wide,business_mng,0
resp530,business,E,country-wide,implementation,0
resp532,hr,E,country-wide,service,0
resp533,it,E,country-wide,service,0.738864487
resp534,it,MM,country-wide,service,0.784424167
resp536,network,TL,central,implementation,0.792310495
resp537,it,E,country-wide,service,0
resp538,it,E,country-wide,service,0.847619413
resp540,control,E,country-wide,corp_gov,0
resp541,network,E,west,business_mng,0.855895563
resp542,security,E,country-wide,service,0
resp543,network,E,country-wide,business_mng,0.727632805
resp545,security,TM,country-wide,service,0.83061119
resp546,control,E,east,business_mng,0
resp547,it,E,country-wide,service,0.775839135
resp548,business,E,country-wide,business_mng,0
resp549,it,E,country-wide,service,0.72451323
resp550,business,E,country-wide,implementation,0
resp551,mng,E,country-wide,service,0.779492881
resp553,leadership,TL,country-wide,service,0
resp554,mng,E,east,service,0
resp556,network,TL,central,implementation,0
resp557,mng,E,country-wide,service,0
resp558,network,E,east,business_mng,0.881248956
resp559,logistics,E,west,implementation,0.00348582
resp560,logistics,E,country-wide,business_mng,0.766237172
resp561,mng,E,central,service,0.848506955
resp562,network,TL,west,implementation,0.773285774
resp563,network,E,country-wide,business_mng,0.704582499
resp565,mng,E,country-wide,service,0.738075637
resp566,it,E,country-wide,service,0.725957123
resp567,business,E,country-wide,business_mng,0
resp568,hr,E,east,service,0.845259208
resp571,mng,E,country-wide,service,0.660514844
resp572,control,E,country-wide,corp_gov,0.772011107
resp573,leadership,TL,country-wide,corp_gov,0.811249719
resp574,mng,E,country-wide,service,0.606365078
resp575,it,E,country-wide,service,0.818990923
resp577,mng,E,country-wide,corp_gov,0
resp578,network,MM,west,implementation,0.875592727
resp584,logistics,E,country-wide,implementation,0
resp586,logistics,E,country-wide,implementation,0.720796723
resp587,control,E,east,business_mng,0.778722652
resp588,hr,E,east,implementation,0
resp589,business,TL,country-wide,implementation,0.671395119
resp590,business,E,country-wide,implementation,0.007843096
resp591,hr,E,central,implementation,0
resp592,network,TL,central,implementation,0
resp593,logistics,E,country-wide,implementation,0
resp594,network,MM,central,implementation,0.010457461
resp595,network,MM,west,business_mng,0.796894109
resp597,network,MM,central,implementation,0.707929684
resp598,network,TL,central,implementation,0
resp601,network,TL,west,implementation,0.771793014
resp602,business,E,country-wide,business_mng,0
resp603,network,TL,west,implementation,0
resp606,network,TL,central,implementation,0.708601914
resp607,network,TL,central,implementation,0.721134654
resp608,network,TL,west,business_mng,0.654741645
resp609,network,TL,east,implementation,0.783962878
resp610,network,MM,central,implementation,0
resp611,network,E,east,business_mng,0.924958347
resp612,mng,E,east,service,0.767420966
resp613,hr,E,country-wide,service,0.710230149
resp615,network,MM,west,implementation,0
resp617,logistics,E,country-wide,service,0.721933074
resp618,logistics,E,west,implementation,0.712976688
resp619,mng,E,east,implementation,0
resp620,hr,E,country-wide,service,0.802119389
resp621,logistics,E,country-wide,implementation,0
resp622,security,E,country-wide,corp_gov,0
resp624,business,E,country-wide,implementation,0
resp625,business,E,country-wide,implementation,0.764292834
resp628,logistics,TL,east,implementation,0
resp630,logistics,E,east,implementation,0
resp631,network,E,east,business_mng,0.741712957
resp633,mng,E,west,implementation,0.778752833
resp634,network,E,central,business_mng,0.760125751
resp635,it,E,east,service,0
resp636,it,E,country-wide,service,0.791316043
resp638,business,E,country-wide,business_mng,0.735264245
resp639,mng,E,central,service,0
resp640,network,TL,central,implementation,0.723595388
resp643,network,TL,west,implementation,0.749215468
resp644,hr,E,east,implementation,0.825217067
resp645,mng,E,country-wide,service,0
resp647,business,E,country-wide,business_mng,0.887259098
resp650,logistics,E,country-wide,implementation,0
resp652,business,E,country-wide,business_mng,0.768871365
resp653,logistics,E,country-wide,implementation,0.781250095
resp654,network,TL,east,implementation,0
resp655,network,TL,central,implementation,0.709690569
resp658,network,TL,east,implementation,0.768896844
resp659,business,E,country-wide,business_mng,0.887019038
resp660,logistics,E,west,implementation,0.726085747
resp661,logistics,E,country-wide,implementation,0.795178439
resp662,network,E,country-wide,business_mng,0.760407841
resp664,network,MM,east,implementation,0.874665804
resp665,logistics,E,country-wide,implementation,0
resp667,hr,E,central,service,0.788507721
resp668,logistics,E,east,implementation,0
resp670,business,E,east,implementation,0.007843096
resp671,logistics,E,country-wide,implementation,0.011764644
resp672,logistics,E,country-wide,implementation,0
resp674,control,E,central,business_mng,0
resp675,leadership,E,country-wide,service,0.621407628
resp676,mng,E,country-wide,corp_gov,0.709185421
resp677,network,TL,central,implementation,0.665270312
resp678,network,E,central,business_mng,0.807771735
resp680,business,E,country-wide,implementation,0.010457461
resp681,mng,E,country-wide,service,0.826405149
resp682,network,TL,east,implementation,0.820179717
resp684,network,TL,central,implementation,0
resp688,control,E,country-wide,corp_gov,0.813678002
resp689,hr,MM,country-wide,corp_gov,0.884864336
resp690,it,E,country-wide,service,0.743035757
resp691,network,TL,west,implementation,0
resp692,network,E,central,business_mng,0.816177645
resp693,logistics,E,central,implementation,0
resp695,business,E,country-wide,business_mng,0.828177226
resp698,mng,E,country-wide,service,0.764307914
resp699,network,MM,central,implementation,0.777019239
resp700,logistics,E,country-wide,service,0.875226218
resp703,it,E,country-wide,service,0
resp704,business,E,country-wide,business_mng,0
resp705,network,TL,east,implementation,0
resp708,it,E,country-wide,service,0
resp709,leadership,E,country-wide,service,0.658465789
resp712,mng,E,east,service,0
resp714,logistics,E,country-wide,implementation,0
resp715,hr,E,west,service,0.745299256
resp716,business,TL,country-wide,implementation,0.617196123
resp717,mng,E,country-wide,service,0.738598577
resp718,business,E,country-wide,corp_gov,0.002614365
resp719,leadership,E,country-wide,corp_gov,0.833779849
resp720,network,MM,east,implementation,0.002614365
resp721,logistics,E,central,implementation,0.787703596
resp722,business,E,country-wide,implementation,0
resp723,mng,E,east,implementation,0.785652372
resp725,network,E,central,business_mng,0.748566619
resp727,business,E,country-wide,business_mng,0
resp729,business,E,country-wide,business_mng,0
resp730,business,E,country-wide,implementation,0.70582723
resp733,security,E,country-wide,corp_gov,0
resp734,network,TL,central,implementation,0
resp735,network,TL,east,implementation,0
resp736,it,E,country-wide,service,0
resp737,logistics,TL,central,implementation,0
resp738,it,E,country-wide,service,0.800474257
resp742,business,TL,country-wide,implementation,0.812818556
resp743,logistics,E,country-wide,implementation,0.795772214
resp745,network,TL,east,implementation,0.807572757
resp747,hr,E,east,service,0.769005059
resp748,network,TL,east,implementation,0.784311571
resp749,hr,E,central,service,0.79213941
resp750,logistics,TL,country-wide,implementation,0
resp753,logistics,E,country-wide,implementation,0.872013609
resp754,logistics,E,east,implementation,0.825507973
resp755,network,TL,east,implementation,0.846437665
resp756,business,TL,country-wide,business_mng,0.742564522
resp757,leadership,E,country-wide,service,0
resp758,business,E,country-wide,implementation,0
resp759,mng,E,west,service,0.698978576
resp761,business,E,country-wide,business_mng,0.520525029
resp762,mng,E,country-wide,service,0.605970642
resp763,leadership,E,country-wide,corp_gov,0.805128951
resp764,network,TL,central,implementation,0.692255299
resp766,mng,E,country-wide,service,0.869746476
resp767,network,MM,east,implementation,0
resp769,logistics,E,country-wide,implementation,0
resp771,logistics,E,country-wide,implementation,0
resp772,network,TL,east,implementation,0.943147275
resp774,network,TL,east,implementation,0
resp775,logistics,E,west,implementation,0
resp776,mng,E,country-wide,service,0.013071826
resp777,logistics,E,west,implementation,0
resp784,logistics,E,central,implementation,0.791445024
resp786,business,E,country-wide,business_mng,0.705812812
resp788,hr,E,east,service,0.788598144
resp789,business,E,country-wide,implementation,0.01882343
resp790,network,TL,central,implementation,0.746487173
resp793,network,MM,central,implementation,0
resp794,business,E,country-wide,business_mng,0
resp795,logistics,E,country-wide,implementation,0.738090877
resp796,logistics,E,central,implementation,0.690801286
resp797,network,MM,east,implementation,0.816303275
resp800,it,E,country-wide,service,0.7060696
resp801,logistics,E,country-wide,implementation,0
resp804,network,TL,west,implementation,0.739702499
resp805,mng,E,country-wide,service,0.717802989
resp807,logistics,E,country-wide,implementation,0
resp808,it,E,country-wide,service,0.895107947
resp811,network,E,west,business_mng,0.812093724
resp812,mng,E,country-wide,service,0.662789577
resp813,mng,E,country-wide,service,0
resp814,logistics,E,west,implementation,0
resp815,it,E,west,service,0.753016028
resp816,network,TL,west,implementation,0.739883179
resp817,hr,E,country-wide,service,0.788309696
resp819,network,MM,west,implementation,0.845826204
resp822,network,TL,west,implementation,0.761998504
resp823,business,E,country-wide,implementation,0
resp824,network,TL,west,implementation,0.77299405
resp825,network,TL,east,implementation,0.78449925
resp826,hr,E,central,service,0.767103106
resp827,network,MM,central,implementation,0
resp828,logistics,TL,east,implementation,0.866619711
resp831,hr,E,central,service,0.758718437
resp832,leadership,E,country-wide,corp_gov,0.76555725
resp834,mng,E,country-wide,corp_gov,0.798345768
resp835,logistics,E,west,implementation,0
resp836,mng,E,country-wide,corp_gov,0
resp837,business,E,country-wide,business_mng,0.705552956
resp842,network,TL,central,implementation,0
resp843,mng,E,country-wide,corp_gov,0.726826224
resp844,business,TL,country-wide,business_mng,0.806777824
resp845,network,TL,central,implementation,0.737586025
resp847,logistics,E,east,implementation,0.853861811
resp848,it,TL,country-wide,service,0
resp850,business,E,country-wide,implementation,0
resp851,network,TL,central,implementation,0.660482899
resp852,logistics,E,west,implementation,0.796158717
resp853,it,E,country-wide,service,0
resp854,network,E,central,business_mng,0.823807007
resp855,network,TL,west,implementation,0.588508525
resp856,network,TL,east,implementation,0.816991219
resp857,leadership,E,country-wide,service,0
resp858,it,E,east,service,0.796197388
resp859,network,TL,east,implementation,0
resp860,business,E,country-wide,business_mng,0.618033851
resp862,business,E,country-wide,business_mng,0.783594998
resp863,network,TL,east,implementation,0
resp864,logistics,E,country-wide,implementation,0.777050867
resp865,network,E,west,business_mng,0
resp867,logistics,E,country-wide,implementation,0
resp868,logistics,E,country-wide,business_mng,0
resp869,it,E,central,service,0.676057331
resp870,logistics,E,west,business_mng,0
resp871,network,E,west,business_mng,0.823517299
resp872,business,E,country-wide,business_mng,0.721896852
resp874,hr,E,central,service,0
resp875,mng,E,country-wide,corp_gov,0.831074418
resp876,business,E,country-wide,implementation,0.651202978
resp877,logistics,E,east,implementation,0
resp878,hr,E,country-wide,corp_gov,0.785514272
resp879,network,E,west,business_mng,0.735072279
resp881,network,E,east,business_mng,0.831580348
resp884,mng,E,country-wide,service,0.662172724
resp885,network,TL,east,implementation,0.818010471
resp887,logistics,E,country-wide,implementation,0
resp890,leadership,E,country-wide,corp_gov,0.783636668
resp892,mng,E,country-wide,corp_gov,0
resp893,it,E,country-wide,service,0
resp894,it,E,country-wide,service,0
resp896,business,E,country-wide,implementation,0
resp901,hr,E,east,implementation,0.010457461
resp903,network,MM,central,implementation,0.792560374
resp905,mng,E,east,implementation,0
resp906,business,E,country-wide,business_mng,0
resp907,leadership,E,country-wide,corp_gov,0
resp910,hr,E,east,service,0
resp911,network,MM,west,implementation,0
resp912,hr,E,west,implementation,0.790934226
resp913,control,E,east,business_mng,0.739816393
resp914,network,TL,east,implementation,0
resp915,logistics,E,country-wide,business_mng,0
resp916,business,E,country-wide,business_mng,0
resp917,business,E,country-wide,implementation,0.010457461
resp918,logistics,E,central,implementation,0.644359111
resp920,business,E,country-wide,business_mng,0.684859487
resp922,logistics,E,country-wide,implementation,0
resp925,logistics,E,country-wide,service,0.852246638
resp926,logistics,E,country-wide,implementation,0.796438572
resp927,network,E,east,business_mng,0
resp929,network,MM,east,implementation,0.782215476
resp930,logistics,TL,central,implementation,0.872152797
resp933,logistics,E,east,implementation,0.871597449
resp934,logistics,E,country-wide,service,0.709216105
resp935,business,E,country-wide,service,0
resp938,network,TL,east,implementation,0.820015599
resp939,leadership,E,country-wide,corp_gov,0
resp940,network,TL,west,implementation,0
resp941,logistics,E,central,implementation,0.785192791
resp942,network,TL,east,implementation,0
resp944,control,MM,country-wide,corp_gov,0.788195982
resp946,network,TL,east,implementation,0.777746605
resp947,network,MM,east,implementation,0
resp948,business,E,country-wide,business_mng,0.74641919
resp951,network,E,central,business_mng,0
resp954,business,E,country-wide,business_mng,0.80208014
resp956,business,E,country-wide,implementation,0
